enrollment_id,student_id,course_id,enrollment_date
324,898,47,2024-03-15
325,1065,49,2023-07-20
326,1176,43,2023-12-30
327,1039,97,2023-07-01
328,1354,74,2024-10-10
329,549,73,2024-03-13
330,1232,57,2024-02-10
331,1002,34,2024-04-01
332,600,70,2025-02-07
333,654,10,2024-08-19
334,160,100,2024-05-03
335,461,72,2023-06-24
336,1351,42,2024-10-10
337,1001,88,2025-01-15
338,830,92,2024-07-25
339,493,1,2025-03-27
340,203,7,2024-06-12
341,1090,58,2024-11-24
342,1111,32,2023-10-07
343,1302,34,2024-09-12
344,1463,2,2024-04-16
345,725,65,2025-01-11
346,1215,97,2024-07-29
347,314,41,2024-07-22
348,759,33,2024-06-11
349,1073,59,2023-11-27
350,388,48,2024-01-21
351,642,69,2024-02-05
352,1430,88,2024-06-05
353,522,74,2025-04-04
354,1322,6,2023-08-14
355,488,22,2025-04-25
356,70,74,2023-12-23
357,725,53,2023-10-26
358,1452,47,2025-01-25
359,1422,24,2024-07-30
360,433,6,2024-06-21
361,117,16,2025-04-15
362,685,71,2024-10-03
363,799,93,2023-08-03
364,436,8,2024-04-06
365,320,71,2024-12-05
366,998,32,2024-08-14
367,1459,61,2023-09-02
368,414,2,2023-08-03
369,522,23,2024-08-07
370,605,36,2024-06-30
371,962,11,2025-05-20
372,154,91,2024-03-14
373,1266,54,2023-10-12
374,1184,3,2025-04-13
375,1029,32,2023-11-01
376,1255,87,2024-12-01
377,951,9,2023-06-18
378,1442,51,2025-03-21
379,888,69,2024-08-23
380,914,33,2025-03-12
381,206,9,2023-10-11
382,1150,14,2024-01-14
383,191,72,2024-10-07
384,418,39,2024-12-05
385,416,75,2025-01-07
386,209,45,2023-07-27
387,783,8,2024-08-14
388,1050,33,2024-10-16
389,1258,48,2023-11-27
390,1365,43,2024-03-03
391,861,98,2024-12-03
392,1258,78,2024-01-09
393,672,90,2024-10-16
394,1498,24,2024-07-31
395,128,15,2024-03-26
396,982,98,2023-09-07
397,232,28,2025-01-23
398,135,83,2025-03-12
399,1195,84,2024-08-30
400,1370,79,2025-05-22
401,1152,46,2025-02-02
402,305,11,2025-03-29
403,894,62,2024-11-01
404,1129,19,2025-02-27
405,182,9,2025-04-25
406,719,45,2023-09-21
407,1039,81,2024-07-10
408,1419,86,2024-04-14
409,793,54,2025-04-08
410,1259,34,2024-06-08
411,1224,33,2024-12-23
412,661,19,2024-03-24
413,512,63,2024-12-31
414,83,4,2023-10-26
415,1398,78,2024-04-04
416,1425,74,2023-07-12
417,466,60,2023-10-07
418,698,68,2024-05-25
419,1181,90,2024-04-09
420,720,60,2023-06-06
421,987,69,2023-08-26
422,700,19,2024-09-16
423,778,23,2023-10-02
424,984,85,2024-12-14
425,604,84,2023-06-11
426,56,7,2023-06-17
427,77,69,2025-04-13
428,995,10,2023-12-30
429,821,28,2024-10-31
430,262,79,2023-07-15
431,891,70,2023-06-17
432,755,72,2025-04-13
433,1259,3,2023-06-12
434,331,82,2023-06-28
435,1405,84,2024-11-22
436,5,84,2024-12-17
437,1482,90,2023-07-10
438,1001,17,2024-03-26
439,725,46,2024-04-18
440,94,92,2025-05-04
441,305,2,2024-09-09
442,292,53,2023-08-11
443,166,63,2024-10-01
444,110,71,2024-12-10
445,762,28,2025-01-23
446,616,42,2023-09-08
447,1125,6,2023-11-21
448,1436,8,2024-06-14
449,619,96,2024-05-11
450,1314,97,2024-09-11
451,465,89,2024-03-13
452,1429,1,2024-01-07
453,867,87,2023-12-19
454,853,58,2023-06-05
455,337,77,2025-01-12
456,1280,32,2025-02-10
457,245,66,2024-06-08
458,858,4,2024-02-27
459,1207,85,2023-06-03
460,817,26,2024-02-03
461,1041,52,2024-09-11
462,575,18,2024-10-20
463,1247,70,2024-08-20
464,103,65,2024-04-10
465,1460,20,2025-01-13
466,175,20,2024-05-30
467,1361,69,2023-08-07
468,343,69,2023-08-13
469,1028,10,2025-02-28
470,1495,18,2023-12-10
471,251,25,2024-10-21
472,960,70,2023-09-25
473,875,78,2023-11-01
474,70,50,2024-08-07
475,749,43,2024-03-09
476,38,55,2024-05-13
477,307,59,2024-06-11
478,141,88,2023-06-12
479,356,24,2025-04-01
480,746,68,2024-11-25
481,1049,21,2024-05-03
482,795,15,2024-05-30
483,1477,36,2025-03-01
484,690,10,2023-07-29
485,471,79,2023-07-01
486,1349,91,2023-10-03
487,390,10,2023-11-25
488,587,11,2023-07-03
489,688,51,2024-02-17
490,1414,52,2024-07-13
491,1281,5,2024-01-13
492,1125,82,2024-03-07
493,245,36,2025-04-09
494,1136,2,2025-04-10
495,197,69,2023-07-23
496,361,79,2023-08-07
497,678,3,2024-06-28
498,852,62,2024-01-27
499,1267,85,2024-08-26
500,1479,46,2025-04-03
501,877,7,2023-09-20
502,1057,74,2024-05-02
503,357,54,2023-11-06
504,17,49,2025-03-02
505,599,75,2025-04-23
506,85,95,2025-05-16
507,44,75,2023-06-07
508,1053,71,2025-04-27
509,469,43,2025-04-24
510,1143,11,2025-04-17
511,1227,4,2023-07-09
512,1122,62,2025-05-04
513,1181,28,2024-12-01
514,539,48,2024-10-26
515,685,24,2023-09-02
516,1229,26,2024-11-20
517,39,32,2024-09-17
518,1118,7,2023-06-04
519,1442,94,2025-02-25
520,250,60,2023-07-14
521,1420,62,2024-12-16
522,809,40,2024-06-11
523,1195,12,2024-02-15
524,629,99,2023-11-22
525,1140,19,2025-03-20
526,1108,67,2024-09-07
527,1456,2,2023-09-15
528,1178,76,2025-02-15
529,316,7,2024-01-31
530,995,66,2024-01-10
531,468,10,2024-06-18
532,1328,7,2024-02-16
533,118,90,2024-10-11
534,896,35,2024-04-07
535,1465,77,2023-08-01
536,856,60,2023-09-14
537,189,44,2024-01-11
538,822,63,2025-03-13
539,1487,82,2024-01-27
540,895,72,2023-12-25
541,112,18,2023-08-17
542,662,86,2024-02-23
543,1459,87,2025-02-03
544,333,61,2024-10-26
545,1192,34,2025-05-04
546,1267,94,2024-04-18
547,181,53,2024-09-01
548,435,85,2024-12-08
549,863,100,2024-02-21
550,1492,72,2025-01-18
551,1188,12,2024-11-29
552,379,45,2024-09-12
553,974,19,2024-04-21
554,408,32,2024-02-20
555,1220,18,2024-08-12
556,1253,58,2024-12-22
557,1063,62,2024-09-28
558,18,10,2025-03-15
559,425,50,2024-03-11
560,235,9,2024-10-09
561,1018,58,2024-01-07
562,296,72,2023-10-13
563,1405,49,2024-07-15
564,510,90,2023-07-28
565,1340,15,2025-04-13
566,689,41,2024-01-29
567,325,11,2025-03-17
568,1238,86,2023-10-18
569,321,84,2024-06-01
570,398,99,2023-12-08
571,133,100,2023-06-23
572,435,99,2023-11-04
573,1491,89,2023-06-15
574,802,25,2023-08-23
575,478,72,2024-10-07
576,552,34,2023-11-06
577,800,97,2023-12-25
578,449,33,2025-03-15
579,714,97,2025-03-06
580,245,60,2025-02-17
581,646,55,2024-06-24
582,190,6,2024-03-10
583,704,3,2023-08-01
584,611,42,2023-07-29
585,71,77,2024-01-31
586,1281,76,2024-08-10
587,926,15,2024-10-14
588,256,5,2023-09-05
589,1212,53,2023-09-16
590,314,98,2024-06-17
591,1275,20,2024-10-22
592,610,14,2024-04-28
593,378,47,2023-11-02
594,835,43,2024-09-17
595,446,28,2024-10-24
596,586,80,2023-11-14
597,1347,2,2024-07-19
598,1094,91,2023-12-07
599,1317,62,2024-04-21
600,1428,19,2025-01-17
601,1042,28,2025-04-19
602,738,97,2023-06-06
603,806,38,2023-06-30
604,792,67,2025-05-06
605,237,65,2023-10-30
606,515,8,2024-09-30
607,965,65,2023-07-20
608,770,60,2024-07-24
609,1146,58,2024-09-22
610,695,4,2024-10-08
611,1206,13,2023-07-04
612,1387,95,2023-08-17
613,794,30,2024-02-09
614,1207,79,2024-09-02
615,197,91,2025-05-27
616,915,48,2024-10-11
617,1420,62,2024-10-11
618,1138,64,2024-02-06
619,371,93,2025-06-01
620,509,61,2024-01-06
621,1004,29,2025-04-06
622,136,9,2024-08-08
623,1052,82,2025-01-24
624,255,30,2023-07-31
625,448,23,2025-03-17
626,1470,44,2023-07-27
627,1434,18,2025-02-07
628,1234,19,2025-03-11
629,1242,91,2023-10-20
630,1265,10,2025-01-20
631,624,64,2024-11-10
632,82,62,2024-06-19
633,109,99,2024-07-15
634,967,85,2024-08-30
635,1194,43,2024-03-04
636,1469,32,2023-12-16
637,567,67,2023-08-01
638,1469,52,2023-11-01
639,1151,66,2024-12-05
640,847,65,2023-11-22
641,1328,6,2023-11-10
642,1013,25,2024-05-17
643,557,38,2023-09-22
644,671,25,2025-05-07
645,849,6,2024-06-26
646,371,23,2024-02-12
647,302,41,2025-01-13
648,1003,83,2024-12-26
649,769,6,2024-07-01
650,324,56,2025-01-05
651,1021,57,2024-07-20
652,189,3,2024-01-30
653,1044,49,2025-01-22
654,1121,86,2023-12-14
655,412,1,2024-02-05
656,422,46,2024-02-04
657,32,97,2025-01-28
658,1119,1,2024-11-22
659,311,34,2024-08-22
660,800,33,2023-09-30
661,740,60,2023-06-06
662,222,62,2023-10-27
663,1471,16,2024-10-29
664,800,91,2023-09-07
665,967,29,2024-07-23
666,442,9,2023-10-21
667,852,74,2024-08-26
668,335,11,2024-10-11
669,993,85,2024-11-22
670,108,89,2023-08-07
671,1489,29,2024-05-26
672,1419,52,2024-06-23
673,807,66,2023-10-16
674,241,9,2024-01-29
675,1458,14,2024-06-26
676,1030,4,2025-03-09
677,545,78,2024-11-12
678,798,4,2025-03-19
679,107,100,2024-03-14
680,999,4,2025-04-08
681,856,89,2024-07-23
682,530,4,2025-02-16
683,1388,95,2024-10-02
684,1306,68,2024-10-25
685,669,59,2025-01-13
686,946,53,2024-06-18
687,1488,93,2024-08-03
688,1193,33,2024-06-24
689,970,43,2024-08-21
690,270,42,2023-08-18
691,1480,100,2025-04-08
692,804,54,2024-09-06
693,56,91,2023-07-24
694,218,64,2024-08-21
695,990,91,2024-10-24
696,810,50,2024-11-22
697,662,58,2024-07-31
698,71,23,2023-09-25
699,245,62,2023-11-05
700,655,34,2023-12-19
701,1078,77,2023-10-30
702,1252,50,2024-10-23
703,1435,56,2025-03-05
704,1049,65,2024-12-28
705,265,63,2023-06-27
706,520,98,2023-09-27
707,307,66,2024-12-19
708,400,33,2024-04-19
709,880,44,2025-01-25
710,450,90,2024-04-26
711,1304,63,2024-05-07
712,314,92,2023-11-02
713,283,92,2023-07-03
714,1093,89,2024-02-17
715,638,39,2024-05-23
716,1035,81,2023-08-20
717,17,57,2023-07-26
718,792,13,2023-06-20
719,1191,90,2024-08-05
720,1266,62,2024-06-16
721,98,65,2023-07-21
722,883,76,2023-07-10
723,506,76,2024-09-27
724,646,24,2023-07-16
725,1198,67,2024-12-09
726,1219,75,2023-08-12
727,1476,100,2024-10-05
728,487,34,2024-08-14
729,1046,70,2024-09-05
730,1351,34,2024-10-06
731,791,27,2024-09-17
732,615,36,2024-06-17
733,1190,51,2025-04-20
734,565,29,2024-05-01
735,112,24,2024-01-03
736,615,38,2025-01-08
737,983,70,2024-12-25
738,1011,8,2025-02-13
739,903,58,2024-06-06
740,869,92,2025-03-08
741,1026,84,2024-06-11
742,15,35,2025-03-15
743,53,7,2024-06-23
744,460,52,2024-11-25
745,1150,26,2025-01-11
746,494,2,2024-07-06
747,48,25,2025-05-07
748,67,39,2024-05-09
749,1111,42,2025-01-13
750,1006,21,2024-07-04
751,216,47,2024-01-16
752,123,58,2024-07-05
753,385,98,2024-02-26
754,203,63,2024-10-19
755,1014,39,2025-02-09
756,555,14,2024-03-15
757,713,92,2024-08-29
758,984,63,2023-12-26
759,1257,78,2025-04-21
760,375,83,2023-11-11
761,1310,93,2025-05-08
762,332,71,2023-06-30
763,310,40,2023-11-12
764,558,82,2024-11-04
765,603,42,2025-02-06
766,754,35,2025-01-05
767,274,74,2024-09-03
768,554,77,2025-04-02
769,359,22,2024-10-27
770,996,24,2025-05-30
771,569,96,2024-08-03
772,1370,14,2024-08-01
773,798,70,2024-02-17
774,96,38,2024-12-13
775,1194,29,2024-01-25
776,1270,22,2024-11-12
777,188,50,2023-06-30
778,1198,31,2025-02-12
779,453,15,2025-04-13
780,1497,27,2024-04-16
781,1332,7,2024-09-03
782,746,6,2024-01-30
783,967,90,2025-03-23
784,807,26,2024-06-16
785,1497,88,2025-03-12
786,628,61,2023-06-03
787,1476,42,2024-03-10
788,629,3,2024-11-11
789,540,35,2023-08-30
790,543,59,2024-12-09
791,321,35,2023-07-25
792,203,13,2023-10-27
793,1215,20,2025-04-05
794,1290,8,2023-08-16
795,85,62,2025-01-19
796,233,18,2023-09-29
797,176,39,2025-04-04
798,1435,56,2024-05-19
799,1186,11,2023-08-28
800,1160,57,2024-10-23
801,228,87,2024-12-13
802,244,93,2024-03-20
803,1451,95,2024-07-16
804,410,17,2023-12-30
805,1127,3,2023-10-01
806,729,89,2023-07-07
807,1146,48,2023-11-26
808,1284,38,2024-09-23
809,489,42,2023-08-06
810,734,65,2025-04-25
811,246,66,2024-01-15
812,355,76,2023-08-09
813,121,63,2024-06-21
814,1331,43,2024-10-03
815,691,79,2023-12-23
816,614,90,2024-04-13
817,869,65,2024-11-22
818,808,69,2024-06-24
819,225,64,2024-02-12
820,1210,56,2024-04-19
821,970,44,2025-05-29
822,881,4,2024-06-29
823,787,60,2024-01-15
824,1019,29,2023-12-02
825,646,95,2023-08-30
826,131,3,2024-09-09
827,701,23,2025-01-11
828,307,15,2023-07-10
829,377,44,2024-05-08
830,1368,6,2025-01-18
831,1258,86,2025-04-14
832,1065,64,2025-03-20
833,1343,46,2024-03-13
834,619,50,2024-06-10
835,1039,1,2023-12-29
836,1036,70,2024-07-23
837,800,66,2024-12-25
838,1275,79,2024-11-15
839,792,59,2024-10-25
840,793,46,2025-05-04
841,257,39,2023-08-24
842,336,95,2023-08-20
843,441,37,2024-06-16
844,1231,55,2024-05-22
845,106,2,2023-10-20
846,1069,1,2025-05-02
847,1448,95,2024-03-10
848,1243,36,2025-05-22
849,222,74,2023-06-06
850,93,56,2024-05-25
851,757,14,2024-11-27
852,1209,87,2025-02-16
853,1220,16,2023-09-10
854,541,73,2023-07-27
855,138,10,2025-01-21
856,2,59,2024-01-28
857,1325,100,2024-05-12
858,686,2,2023-09-13
859,26,91,2024-12-15
860,336,69,2023-08-06
861,555,88,2023-08-31
862,935,53,2024-04-16
863,1382,92,2023-06-09
864,1217,31,2024-03-17
865,553,12,2025-02-16
866,857,9,2025-01-15
867,347,3,2025-03-18
868,652,56,2023-07-10
869,75,90,2023-12-11
870,1289,40,2025-02-07
871,630,72,2023-12-09
872,1242,29,2024-07-05
873,800,86,2023-09-17
874,198,13,2025-02-21
875,1099,88,2023-12-08
876,816,14,2025-05-08
877,1216,65,2024-05-08
878,525,2,2024-08-07
879,663,19,2024-01-20
880,953,89,2024-12-22
881,1070,97,2024-07-21
882,439,55,2024-12-09
883,1272,98,2025-04-14
884,964,67,2024-10-31
885,798,12,2025-05-31
886,18,27,2024-04-20
887,1162,59,2024-09-13
888,1489,28,2023-09-18
889,596,16,2024-02-15
890,1453,11,2025-04-09
891,1230,42,2025-01-30
892,255,96,2024-11-07
893,950,36,2024-06-29
894,1040,69,2023-08-01
895,257,93,2025-03-01
896,628,11,2025-05-14
897,1204,16,2025-05-30
898,698,38,2024-09-06
899,719,31,2025-04-30
900,1155,75,2023-08-13
901,984,87,2024-05-20
902,454,44,2024-03-14
903,927,76,2023-12-16
904,1314,18,2024-07-13
905,409,29,2023-12-21
906,1326,1,2024-01-24
907,1262,49,2023-12-05
908,1174,80,2024-09-06
909,575,10,2025-04-14
910,1178,70,2025-01-21
911,178,1,2024-09-17
912,1464,83,2024-01-05
913,1335,3,2024-04-25
914,1323,41,2025-02-20
915,876,93,2024-10-15
916,479,20,2023-06-04
917,106,73,2023-12-22
918,678,2,2024-10-15
919,873,35,2025-03-28
920,387,59,2023-07-05
921,611,97,2025-02-25
922,1210,8,2023-07-25
923,888,61,2023-12-19
924,866,82,2023-09-13
925,34,38,2023-07-07
926,1304,46,2025-03-01
927,1114,43,2023-06-07
928,994,84,2024-11-05
929,1288,95,2023-08-04
930,1316,98,2023-06-03
931,1090,78,2024-01-31
932,1030,40,2024-02-07
933,315,91,2024-12-17
934,1062,56,2023-07-22
935,1279,36,2025-04-19
936,920,74,2024-03-04
937,527,3,2024-03-28
938,604,100,2025-05-09
939,7,85,2023-07-19
940,746,65,2024-09-26
941,506,71,2023-12-31
942,1479,76,2023-10-30
943,1048,59,2024-02-28
944,807,91,2024-05-11
945,1062,60,2023-12-04
946,790,8,2025-03-02
947,228,92,2024-12-09
948,1167,58,2024-11-25
949,61,70,2024-09-12
950,1059,83,2025-05-20
951,1067,59,2023-12-24
952,688,4,2024-11-18
953,1463,36,2025-02-02
954,1454,9,2023-10-26
955,185,35,2023-06-25
956,1175,48,2023-09-14
957,1146,49,2024-04-16
958,370,30,2025-01-11
959,393,92,2024-07-07
960,726,14,2024-10-05
961,944,89,2024-09-05
962,645,58,2024-03-30
963,703,30,2024-11-15
964,166,74,2025-04-05
965,176,95,2024-09-01
966,744,78,2025-03-26
967,1364,51,2025-01-29
968,40,68,2023-10-23
969,720,7,2024-01-24
970,852,20,2024-10-24
971,426,52,2024-04-08
972,1214,55,2024-08-28
973,245,76,2024-09-21
974,479,27,2024-12-21
975,1343,46,2023-07-23
976,529,58,2024-12-13
977,938,42,2024-09-29
978,1333,59,2024-09-29
979,673,36,2024-06-19
980,601,67,2024-02-07
981,1420,61,2023-10-16
982,314,33,2024-08-04
983,828,13,2024-01-12
984,1252,51,2024-05-03
985,1477,49,2023-12-15
986,410,79,2024-03-22
987,1303,50,2025-02-17
988,855,31,2023-06-03
989,612,82,2023-09-18
990,302,58,2023-12-17
991,541,82,2024-07-14
992,1045,32,2025-05-09
993,1000,12,2023-12-01
994,741,61,2024-09-17
995,838,40,2023-11-19
996,11,70,2024-08-16
997,499,75,2024-10-27
998,270,91,2025-05-23
999,545,67,2024-01-06
1000,1273,52,2024-04-23
1001,155,16,2023-08-23
1002,614,25,2024-11-19
1003,784,41,2024-05-28
1004,1154,60,2024-12-19
1005,206,25,2024-08-21
1006,1494,77,2025-01-13
1007,1186,96,2025-05-07
1008,501,41,2024-07-25
1009,1154,94,2024-10-12
1010,333,78,2023-06-04
1011,1278,78,2024-05-12
1012,376,17,2024-04-22
1013,417,95,2024-04-18
1014,1215,36,2024-04-06
1015,490,14,2024-05-20
1016,647,7,2023-10-18
1017,449,14,2024-05-18
1018,790,91,2025-04-26
1019,1022,28,2024-09-16
1020,392,46,2024-05-15
1021,1196,98,2024-01-14
1022,278,13,2023-10-20
1023,1186,97,2023-10-25
1024,985,82,2025-02-19
1025,1351,21,2024-03-30
1026,506,53,2023-06-29
1027,594,69,2025-04-09
1028,31,34,2025-03-07
1029,589,30,2024-11-30
1030,676,90,2024-11-09
1031,426,89,2024-05-09
1032,753,93,2023-10-17
1033,1415,83,2023-07-15
1034,915,13,2023-10-18
1035,897,20,2024-03-08
1036,534,44,2024-06-17
1037,615,8,2023-09-06
1038,1384,100,2024-05-06
1039,176,96,2024-10-25
1040,1308,30,2024-09-22
1041,932,84,2024-01-05
